Original Tweet,Original Label,Original Target,Orignal Tweet,Tweet 1,Tweet 2,New label,New Target
1.17E+18,offensive,['Women'],Sex be so good a bitch be slow stroking and crying.,"Bitch if I say no, it’s tf no.",How is a somebody spoiling their S.O pick me behavior? Bitch they’ve been chosen 😂,offensive,['Women']
1.11E+18,normal,['African'],real nigger me please,"i find it weird that these older black gentlemen in my job disagree with my goals to be a vet, and think i should « help my people » by going into neurology, pediatrics, etc. 🤨🤨",why won’t biracial people understand that police will still see you as black,offensive,['African']
1.25E+18,offensive,['African'],Girl i use my email for anything important cause that shit too ghetto 😂😭,I was finna say you worse than my bf with this cashmoney@icloud like where tf is the professionalism 😂😭😭,I know dam well your email ain’t nogoodvona@gmail.com,offensive,['Others']
1.18E+18,normal,['Homosexual'],I really be wanting these niggas to know I’m not the Guh for Queer Baiting....,This page is #ProHOE #GAY #QUEER #BEYONCE and a slew of other things,I just want to be sexy/slutty for Halloween this year who throwing a SAFE GAY/FEMME friendly party where I can get sloshed and dance wild 😂,normal,['Homosexual']
1.18E+18,hatespeech,['Islam'],He is infected with jihadi virus he will spread it to others,"One of the first British men to join ISIS is traced to a northern Syrian prison by ITV News

Aseel Muthana was presumed dead after travelling to Syria in 2015 aged 17

He says he misses his mother, his old life in Cardiff, and wants to return home","Since last 72 years Pak sponsored Kashmiri militants, Isis funded terrorists, brainwashed jihadis had free hand in Kashmir to pelt stones at army, kill tourists, massacre and rape KPs. Now the mess is getting cleaned. Kashmiris can now protest for development, education etc.",offensive,['Islam']
1.18E+18,normal,['African'],He dindu nuffin and the po po done shot him,"""Police brutality"" 

>Hong Cuck tries to assault an officer using a metal rod 
>gets shot point blank 

Heeelp the police are murders ;(((( 

Hong Cucks really out there making Black Lives Matters 2.0",">Black people claiming that Cleopatra and the Egyptians were black 
>Realize that the Egyptians had slaves 

Does that mean BN had slaves????",hatespeech,['African']
1.13E+18,normal,['African'],"Cheating is not the WAVE, grow up you dumbass nigga.","Literally nobody: 

Me: “lemme drive da boat”🤣🤣",It’s getting warm outside and mfers don’t know how to act😝.,normal,['African']
1.18E+18,hatespeech,['Disability'],Fucking retard,FUCK OFF DUDE,You are weird dude go fuck yourself,offensive,['Disability']
1.18E+18,normal,['None'],Day 53 Today in gym we won a game of mattball cause of my retarded ass,Day 54 retard forgot until now,I have to get my braces retightened please send prayers,offensive,['Disability']
1.18E+18,normal,['Homosexual'],"I'm not gay, or a sailor fine to that, but I do badly want to be The Ship's Queer!","Yes, always this! I also find it so difficult to sympathise with Catholic school teachers who get fired for being gay married, then call foul. They're fine with the church's teeth until suddenly they're the ones getting bitten.","Yeah, it made me sad to hear about David Yost's story. 

The bay ranger is in Dino Fury, it was handled exactly the same way it would be with a straight couple, except the other characters didn't know she was gay until she asked the other girl out. No preaching, just normalising.",normal,['Homosexual']
1.18E+18,normal,['Other'],"Trump and the Lawless Republican party have turned this Country into a Shithole Country with no Justice , no Authority to enforce our laws any longer. This POTUS and McConnell's Senate are declaring that they are above our laws but the peasant citizens must obey the laws.","If Trump wants to fight in Court quit funding the secret service to protect his ass , quit funding Air Force one to fly around the world. Quit funding the military to protect his stinking draft dodging ass on Air Force One. He has betrayed our country all his stinking life.",I believe Jeffrey Epstein was a Massad agent who blackmailed the highest members of goverment to enrich himself. Trump knew this & liked having sex with underage girls. Trump and Epstein raped 13 year old Katie Johnson . Thats why Epstein is dead now. Barr and Trump murdered him,offensive,['Other']
1.18E+18,normal,['None'],"Trump doesn't care about ""shithole countries"".","My fear actually about if by some miracle Trump is removed from office, is that Pence becomes president and runs for election in 2020. GOP would solidify a vote for Pence, who would rubber stamp their every whim. 
Key & more important for our future: flip the Senate to Democrats.","He called them ""Nazis"" - my first wake up call about what sort of person Trump really is.",normal,['None']
1.18E+18,normal,['Arab'],"LoL no one is supporting bhikharistan except pro muslim countries like turkey , Malaysia. No one gives a fuck about porkistan","Imagine the situation when victim is a Muslim guy... killed during Muharram celebrations.. whole media, politicians and bollywoodias would be outraging.... Common Hindu guy and no one gives a f**k",Proud muslim will never say those words.. you are a kafir,offensive,"['Arab',‘Islam’]"
1.18E+18,normal,['None'],"Nigga Xan said “niggas turn Lil Nas, Faggots!” 😂😂😂😂😂",Im the same nigga when gang gang ain’t around 🖤⛹🏽‍♂️,"Never check up on a nigga, but, You see a nigga up and you quick to ask me for some shit... I",normal,['None']
1.10E+18,offensive,['None'],If I think he thottin ima do it first I’m gon call my side bitch we gon do the work 🥴,Hate having no where to go when I’m mad bitch i just be wasting hella gas,I hate a pick me ass bitch 😂😂,offensive,['Women']
1.18E+18,offensive,['None'],Facetuning yourself and not the bitch next to you in the photograph is a fucking hate crime.,Haven’t touched up my roots in a minute and I’m getting white hairs...IN A FORELOCK BITCH! God is so big.,"Like honestly, I can’t with this bitch. She so bad. Just come out the scalp like that.",offensive,['Women']
1.26E+18,normal,['Other'],I can lmao theater meets ghetto I'll snap them in a second,"@fieldstem_fox @ssydneysf imagine if these bitches were our play pro classmates, id have killed them already https://https://t.co/8BpwX8DupZ","@fieldstem_fox @ssydneysf imagine if these bitches were our play pro classmates, id have killed them already https://t.co/8BpwX8DupZ",offensive,['Other']
1.18E+18,offensive,['None'],"You forgot to mention "" illegal muslim refugee""",No wonder you being a Muslim you are finding it funny while belittling your own country.,Taj Mahal is the reason for the double standard. They still let people offer namaz on Fridays . Be it Hindu Muslim or Christian site it should be prohibited,hatespeech,['Islam']
1.08E+18,normal,['None'],mfs really be cheatin on u w bitches who look up to u & dat copy errything u do/post,BITCH YO MAN LEFT U FOR DEAD HOE !,BADDEST BITCH MODERN DAY TRINA,offensive,['Women']
1.18E+18,normal,['Disability'],true but no one gives a fuck about other activists of color (not that I care much about it tbh im not too invested into this climate change stuff) but just bc she’s white and retarded she gets the spotlight,Greta Thunberg is 100% european and white. Nothing else to add.,what makes my food bearable,offensive,['Disability']
1.12E+18,normal,['African'],Like nigga care,When a racist closes their eyes and sees black,A rare picture of Mandela's security wishing a nigga would,normal,['African']
1.18E+18,offensive,['Homosexual'],#NAME?,"What are some cute nicknames y’all had?? 

Abu — family and childhood friends 
Babbi / Babli — middle school friends 
Bubs — high school friends 
Abhi — college and drag friends 
Faggot — strangers :)","“as a carbon based synthezoid” 

vision baby, just say faggot. 
bisexual men are allowed, we already had that discourse.",normal,['Homosexual']
1.08E+18,offensive,['None'],I’ll turn a dyke into a bike,Bouta ride this lesbian bitch,I ain’t never seen a dead dyke,hatespeech,['Homosexual']
1.18E+18,hatespeech,['None'],LMFAOOOOO the passenger in they car is trying to file another claim in they neck and back!! 😭😭😭😭 u niggers are so predictable!! Make me sick,of all fucking things.... I GET INTO A CAR ACCIDENT 😒😒😒😒😒😒😒😒😒😒😒😒😒😒,"WITH OR WITHOUT MY BLINKERS, UNDER NO CIRCUMSTANCES SHOULD HE HAVE BEEN TRYING TO GO AROUND SOMEONE IN A ONE LANE. SOOOOOOOOOOOO (yes i did have them on btw)",hatespeech,['African']
1.17E+18,normal,['None'],Regression is a bitch. I haven’t been this angry in a long time.,Is it weird that I wanna try Past Life Regression?,Doing a deep dive about my 12H and I’ve decided I’m definitely doing a past life regression session.,offensive,['Women']
1.18E+18,hatespeech,"['Other', 'Arab']",knock off a cracker for callin me towelhead,"ohh u can call me a ""cracker"" but i cant call u a ""good for nothin, towelhead, terrorist, sand monkey, arab fuck""????","gonna name my first son ""Towelhead"" and get all his teachers fucking CANCELLED",hatespeech,"['Other', 'Arab']"
1.18E+18,offensive,['Refugee'],"Absolutely right man. 
Legal immigrants who work hard and and are law abiding citizens are not the problem 
The context of my comment was to highlight the devastating effects of refugee crisis post 2015 that has plagued EU and Canada with forced immigrants from uncivilized society","Certainly not France anymore, tourists getting mugged by immigrants is a regular affair.","The people of the land you are talking about no longer follow the beliefs or even remember their ancient civilization. 
Because certainly after 6th century A.D they were invaded by armies of a warlord (self proclaimed prophet) who forced them to join the cult",normal,['None']
1.18E+18,hatespeech,['Homosexual'],Yadi is a fucking faggot,Molina is a fucking pussy,Fuck st Louis in its entirety. The worst fucking fans in baseball,offensive,['Homosexual']
1.18E+18,normal,"['African', 'Refugee']","@RashidaTlaib 
Andrew Johnson impeached/failed (""..send every negro back to Africa"") beat as worst president by Trump(""..go back..places from which they came""). Read JESUS TURNED SERAPIS-SERMON ON THE BLACK CHRIST Lulu & THOMAS JEFFERSON PIMPED SKYDOG AND THE AUNT JAMAMA BOMB Lulu","Real reasons Andrew Johnson was Impeached: 1) involved in Lincoln's assassination, 2) supported the Ku Klux Klan and 3) the re-enslavement of Black people. Read magic realism insight on page 81-88 THOMAS JEFFERSON PIMPED SKYDOG AND THE AUNT JAMAMA BOMB Lulu","@BookTV 
Air Force Officer Training School-race hate was routine. School Commander threatened an Officer Trainee with not receiving a commission if she continued to date a Black Officer Trainee. Read page 66-74 THOMAS JEFFERSON PIMPED SKYDOG AND THE AUNT JAMAMA BOMB Lulu",normal,['None']
1.18E+18,offensive,['Refugee'],"Turkey is deporting 3 million illegal immigrants from their soil to Syria and northern Iraq. We must deport 3-5 million illegal immigrants from America! Just think about it, a Muslim country deporting millions of Muslims refugees! No open borders in the Middle East!",I thought Rep Cummings was a failure in his Dist. Baltimore has all the worst statistics involving African Americans! All of his booming equated to nothing in terms of a better life for Black people! Words are meaningless if they dont bring about success for Cummings District!,"Omar, you're radicalized Socialist Muslim! And a racist to boot.",normal,['None']
1.18E+18,normal,['Homosexual'],Did I really just see an article say that Halsey (a fucking queer artist) is queerbaiting her audience??? Like??? How fucking sense do you have to be???,Do teenage boys r e a l l y have to spit on the floor every two minutes like that shit is disgusting,Ye they’re all psychopaths,normal,['None']
1.10E+18,offensive,['Women'],Who do bitches in horror movies always have huge houses? Like cmon. We know you can’t cover those property taxes.,Shootin' my shot on LinkedIn like the boss ass bitch that I am.,The transition from is to was is a real bitch.,offensive,['Women']
1.18E+18,normal,['African'],I aint talking bout you negro,I dont need my niggas cause my girlfriend is my hitta...,Told a white person I was gassed and they asked what that mean,offensive,['African']
1.18E+18,offensive,['Homosexual'],"Faggots still Stan the fuck out of Kim petras and it's so fucking disgusting. What's worse is they use her as an excuse to ""love the trans community!"" she's a demon and the white devil, if you still like her fuck off
","I sent one text to the class groupchat and this girl responds with ""yasssss"" girl I SWEAR to god, there are men here! 
","Bitches be like ""I hate gifted kid syndrome! Everyone expected so much of me cuz I was so smart!"" like bitch you had to take a special math class on weekends cuz you were failing
",hatespeech,['Caucasian']
1.18E+18,normal,['Caucasian'],"Man,,,, all these brown “my parents won’t accept my white partner” stories are so wack like,,,,, you know damn well it’s so much harder for the black partners of brown kids like,,,, I wanna watch a movie or story that deals with that, I’m tired of white ppl
",LMAO IVE JUST BEEN THINKING ABT IT A LOT,"Not to make it seem like I like white ppl but white women really snapped w this look like,,,, ok maybe I’ll excuse racism if y’all bring this back",offensive,"['Asian', 'African', 'Caucasian']"
1.18E+18,normal,['None'],This is the twat who wants to start another holocaust in Eire,Fuck sake ter Stegen,None. All lying cunts,offensive,['Other']
1.18E+18,normal,"['Men', 'Indian', 'Hindu']","Modi is brutal, a Hitler copycat, cold blooded murderer, killed Christians, Muslims, and Sikhs in thousands - believes in forceful proselytism. Kashmiris are being raped and killed in thousands 
@PTIofficial 

@ImranKhanPTI 

@mophrd","Vote AGAINST BREXIT-Your Last Chance! DO NOT MISS IT! 
Create Jobs!Avoid Recession!VOTE on Dec 12. 

#generalelection2019 #GE19 #Election2019 #GBB2019 #Brexit #London #GeneralElection #StopBrexit 
@jeremycorbyn 

@BorisJohnson 

@UKLabour 

@LibDems 

@piersmorgan 

@ConHome 

@Conservatives","Get Ready - BRITAIN - General Elections Announced - December 12 - BREXIT referendum - Get out to vote. 

#Brexit #Election2019 #vote 
@London 

@Pakistan 
@Uk 
@ImranKhanPTI 

@sayedzbukhari 

@SMQureshiPTI 
#GE2019 
@ABC 

@CNN 

@TheDemocrats 

@PTIofficial 
#CBS #generalelection2019 #Newsnight",normal,['None']
1.18E+18,normal,['None'],"My son died of dementia at the age of three and I'm currently amidst killing my self, so a stanky ass booty pic from your ching chong ass would make my life so much better rn.
","You have no idea how sexy it's gonna be doing a psych exam after English. That shits gonna make me cum buckets 
","Let's hope one of the cunts in our exam, (preferably Mouad or Hassan Elulu) suffer a heart attack so we all pass the exam 
",hatespeech,['Asian']
1.18E+18,normal,['None'],"Do u have to be retarded to be a lino
","So fucking wank
","Every fucking player is shit
",offensive,['Other']
1.18E+18,hatespeech,"['Women', 'Homosexual']","Why are the most extreme feminists always lesbian dykes trying to be guys anyway?
",Ur gay,Why you harassing this girl,hatespeech,"['Women', 'Homosexual']"
6.98E+17,offensive,['None'],"silent ive learned a lot in my life
corn can be white red & sometimes blue
mars takes about 10 years to get to
AND YOU'RE THE BIGGEST RETARD",lets go unc,"but all the mfs on the original post on your ass for reporting it LMFAOO 
",offensive,['Other']
1.18E+18,offensive,['Asian'],miss the chinaman in the hood yo,when you say you cooking everyone want some but where were y’all when I was surviving off $2.50 corner store sandwiches & $2 fries from the china man 🤔🤔🤔🤔,"my coworkers were shocked to see me girly 
told them I'm a fuckin China doll don't ever get it fucked up 

barbie for kids I'm a collectable",offensive,['Asian']
1.18E+18,hatespeech,['None'],"Alex is my friend. Not a stupid nigger.

Other Alex is.","Shooting is bad, unless they are bad people.","I will shove this hotdog up your ass. 
",offensive,['African']
1.18E+18,normal,['Women'],"Me to you 😂 or I’m like “you know what I take it back, fuck you too hoe” 💀
",I saw you retweet something.. lemme just say YOU BET NOT go back or give that hoe attention or you’re gonna need to square up forreal.,IF YOU LIKE WHAT YOU SEE THEN YOU GOTTA LET ME KNOW BET YOU WONT DOUBLE TAP THAT HOE 😏,offensive,['Women']
1.18E+18,offensive,['African'],"September ain’t waste no time out this ho. He came faster than some of you niggers
","Well, *nigger 

So you don’t like him no more?!","they gotta call me a nigger to my face TBH i love Chick-fil-A 
",offensive,['African']
1.23E+18,offensive,['Caucasian'],White people are fucking retarded.,More and more everyday white people disgust me like you really out here NOT taking showers👀???,"I hate to say it but red head white bitches are scary😟 
",hatespeech,['Caucasian']
1.18E+18,offensive,['African'],"😭😭😭 okay cause she was mad as fuck! Like what the niggers do to you ma’am 😭😭
","“Nigger, nigger, nigger!” I am screaming omg 😭😭😭",Nigger! Nigger! Nigger!,offensive,['African']
1.12E+18,normal,['None'],"anti nazi merch and shit rules but no matter the context i’m not buying anything that has a swastika on it
",imagine thinking israel actually gives a shit about judaism when they named a settlement after someone who’s a nazi apologist,literally every idiot with the anti-nazi profile picture on fb will defend the fuck out of any racist pop punk band,normal,['None']
1.18E+18,offensive,['Other'],"From shithole countries? Lol go suck on an orange turd
",You likely had no respect for the seat when Obama was POTUS. This isn’t an authoritarian ruled country. Get a grip,"100 years ago, white mobs across the country attacked black people. And they fought back - CNN https://apple.news/ArCedwqzLTNqAzLyQvowFTA",offensive,['Other']
1.18E+18,normal,['Homosexual'],"We dressed with BIG DYKE ENERGY today and wanna show off but we’re too scared to do a face reveal....
","Us, at everyone at work thinking they’re gonna dress gayer than us:",(Host) I wish people in my actual life liked me as much as random trans women who friend me on Facebook do,normal,['None']
